😀	grinning	face, smile, happy, joy, :D, grin
😬	grimacing	face, grimace, teeth
😁	grin	face, happy, smile, joy, kawaii
😂	joy	face, cry, tears, weep, happy, happytears, haha
😃	smiley	face, happy, joy, haha, :D, :), smile, funny
😄	smile	face, happy, joy, funny, haha, laugh, like, :D, :)
😅	sweat_smile	face, hot, happy, laugh, sweat, smile, relief
😆	laughing	happy, joy, lol, satisfied, haha, face, glad, XD, laugh
😇	innocent	face, angel, heaven, halo
😉	wink	face, happy, mischievous, secret, ;), smile, eye
😊	blush	face, smile, happy, flushed, crush, embarrassed, shy, joy
🙃	upside_down_face	face, flipped, silly, smile
☺️	relaxed	face, blush, massage, happiness
😋	yum	happy, joy, tongue, smile, face, silly, yummy, nom, delicious, savouring
😌	relieved	face, relaxed, phew, massage, happiness
😍	heart_eyes	face, love, like, affection, valentines, infatuation, crush, heart
😘	kissing_heart	face, love, like, affection, valentines, infatuation, kiss
😗	kissing	love, like, face, 3, valentines, infatuation, kiss
😙	kissing_smiling_eyes	face, affection, valentines, infatuation, kiss
😚	kissing_closed_eyes	face, love, like, affection, valentines, infatuation, kiss
😜	stuck_out_tongue_winking_eye	face, prank, childish, playful, mischievous, smile, wink, tongue
😝	stuck_out_tongue_closed_eyes	face, prank, playful, mischievous, smile, tongue
😛	stuck_out_tongue	face, prank, childish, playful, mischievous, smile, tongue
😎	sunglasses	face, cool, smile, summer, beach, sunglass
😏	smirk	face, smile, mean, prank, smug, sarcasm
😶	no_mouth	face, hellokitty
😐	neutral_face	indifference, meh, :|, neutral
😑	expressionless	face, indifferent, -_-, meh, deadpan
😒	unamused	indifference, bored, straight face, serious, sarcasm, unimpressed, skeptical, dubious, side_eye
😳	flushed	face, blush, shy, flattered
😞	disappointed	face, sad, upset, depressed, :(
😟	worried	face, concern, nervous, :(
😠	angry	mad, face, annoyed, frustrated
😡	rage	angry, mad, hate, despise
😔	pensive	face, sad, depressed, upset
😕	confused	face, indifference, huh, weird, hmmm, :/
☹	frowning_face	face, sad, upset, frown
😣	persevere	face, sick, no, upset, oops
😖	confounded	face, confused, sick, unwell, oops, :S
😫	tired_face	sick, whine, upset, frustrated
😩	weary	face, tired, sleepy, sad, frustrated, upset
😤	triumph	face, gas, phew, proud, pride
😮	open_mouth	face, surprise, impressed, wow, whoa, :O
😱	scream	face, munch, scared, omg
😨	fearful	face, scared, terrified, nervous, oops, huh
😰	cold_sweat	face, nervous, sweat
😯	hushed	face, woo, shh
😦	frowning	face, aw, what
😧	anguished	face, stunned, nervous
😢	cry	face, tears, sad, depressed, upset, :'(
😥	disappointed_relieved	face, phew, sweat, nervous
😪	sleepy	face, tired, rest, nap
😓	sweat	face, hot, sad, tired, exercise
😭	sob	face, cry, tears, sad, upset, depressed
😵	dizzy_face	spent, unconscious, xox, dizzy
😲	astonished	face, xox, surprised, poisoned
😷	mask	face, sick, ill, disease
😴	sleeping	face, tired, sleepy, night, zzz
💤	zzz	sleepy, tired, dream
💩	poop	hankey, shitface, fail, turd, shit
😈	smiling_imp	devil, horns
👿	imp	devil, angry, horns
👹	japanese_ogre	monster, red, mask, halloween, scary, creepy, devil, demon, japanese, ogre
👺	japanese_goblin	red, evil, mask, monster, scary, creepy, japanese, goblin
💀	skull	dead, skeleton, creepy, death
👻	ghost	halloween, spooky, scary
👽	alien	UFO, paul, weird, outer_space
🤖	robot	computer, machine, bot
😺	smiley_cat	animal, cats, happy, smile
😸	smile_cat	animal, cats, smile
😹	joy_cat	animal, cats, haha, happy, tears
😻	heart_eyes_cat	animal, love, like, affection, cats, valentines, heart
😼	smirk_cat	animal, cats, smirk
😽	kissing_cat	animal, cats, kiss
🙀	scream_cat	animal, cats, munch, scared, scream
😿	crying_cat_face	animal, tears, weep, sad, cats, upset, cry
😾	pouting_cat	animal, cats
🙌	raised_hands	gesture, hooray, yea, celebration, hands
👏	clap	hands, praise, applause, congrats, yay
👋	wave	hands, gesture, goodbye, solong, farewell, hello, hi, palm
👍	+1	thumbsup, yes, awesome, good, agree, accept, cool, hand, like
👎	-1	thumbsdown, no, dislike, hand
👊	facepunch	angry, violence, fist, hit, attack, hand
✊	fist	fingers, hand, grasp
✌	v	fingers, ohyeah, hand, peace, victory, two
👌	ok_hand	fingers, limbs, perfect, ok, okay
✋	raised_hand	fingers, stop, highfive, palm, ban
👐	open_hands	fingers, butterfly, hands, open
💪	muscle	arm, flex, hand, summer, strong, biceps
🙏	pray	please, hope, wish, namaste, highfive
☝	point_up	hand, fingers, direction, up
👆	point_up_2	fingers, hand, direction, up
👇	point_down	fingers, hand, direction, down
👈	point_left	direction, fingers, hand, left
👉	point_right	fingers, hand, direction, right
🖐	raised_hand_with_fingers_splayed	hand, fingers, palm
✍	writing_hand	lower_left_ballpoint_pen, stationery, write, compose
💅	nail_care	beauty, manicure, finger, fashion, nail
👄	lips	mouth, kiss
🦷	tooth	teeth, dentist
👅	tongue	mouth, playful
👂	ear	face, hear, sound, listen
👃	nose	smell, sniff
👁	eye	face, look, see, watch, stare
👀	eyes	look, watch, stalk, peek, see
👤	bust_in_silhouette	user, person, human
👥	busts_in_silhouette	user, person, human, group, team
🗣	speaking_head	user, person, human, sing, say, talk
👶	baby	child, boy, girl, toddler
👦	boy	man, male, guy, teenager
👧	girl	female, woman, teenager
👨	man	mustache, father, dad, guy, classy, sir, moustache
👩	woman	female, girls, lady
👱	blonde_man	man, male, boy, blonde, guy, person
👴	older_man	human, male, men, old, elder, senior
👵	older_woman	human, female, women, lady, old, elder, senior
👲	man_with_gua_pi_mao	male, boy, chinese
👳	man_with_turban	male, indian, hinduism, arabs
👮	policeman	man, police, law, legal, enforcement, arrest, 911
👷	construction_worker_man	male, human, wip, guy, build, construction, worker, labor
💂	guardsman	uk, gb, british, male, guy, royal
🕵	male_detective	human, spy, detective
🎅	santa	festival, man, male, xmas, father christmas
👼	angel	heaven, wings, halo
👸	princess	girl, woman, female, blond, crown, royal, queen
👰	bride_with_veil	couple, marriage, wedding, woman, bride
🏃	running_man	man, walking, exercise, race, running
🚶	walking_man	human, feet, steps
💃	dancer	female, girl, woman, fun
👯	dancing_women	female, bunny, women, girls
👫	couple	pair, people, human, love, date, dating, like, affection, valentines, marriage
👬	two_men_holding_hands	pair, couple, love, like, bromance, friendship, people, human
👭	two_women_holding_hands	pair, friendship, couple, love, like, female, people, human
🙇	bowing_man	man, male, boy
💁	tipping_hand_woman	female, girl, woman, human, information
🙅	no_good_woman	female, girl, woman, nope
🙆	ok_woman	women, girl, female, pink, human, woman
🙋	raising_hand_woman	female, girl, woman
🙎	pouting_woman	female, girl, woman
🙍	frowning_woman	female, girl, woman, sad, depressed, discouraged, unhappy
💇	haircut_woman	female, girl, woman
💆	massage_woman	female, girl, woman, head
💑	couple_with_heart_woman_man	pair, love, like, affection, human, dating, valentines, marriage
💏	couplekiss_man_woman	pair, valentines, love, like, dating, marriage
👪	family_man_woman_boy	home, parents, child, mom, dad, father, mother, people, human
👚	womans_clothes	fashion, shopping_bags, female
👕	tshirt	fashion, cloth, casual, shirt, tee
👖	jeans	fashion, shopping
👔	necktie	shirt, suitup, formal, fashion, cloth, business
👗	dress	clothes, fashion, shopping
👙	bikini	swimming, female, woman, girl, fashion, beach, summer
👘	kimono	dress, fashion, women, female, japanese
💄	lipstick	female, girl, fashion, woman
💋	kiss	face, lips, love, like, affection, valentines
👣	footprints	feet, tracking, walking, beach
👠	high_heel	fashion, shoes, female, pumps, stiletto
👡	sandal	shoes, fashion, flip flops
👢	boot	shoes, fashion
👞	mans_shoe	fashion, male
👟	athletic_shoe	shoes, sports, sneakers
👒	womans_hat	fashion, accessories, female, lady, spring
🎩	tophat	magic, gentleman, classy, circus
⛑	rescue_worker_helmet	construction, build
🎓	mortar_board	school, college, degree, university, graduation, cap, hat, legal, learn, education
👑	crown	king, kod, leader, royalty, lord
